state,district,year,Kharif (June-October),Rabi (October-March),Zaid (March-June),Year Avg-Rainfall
Andaman And Nicobar Islands,NICOBARS,2000,313.08,146.3333333,292.3,2763.2
Andaman And Nicobar Islands,NICOBARS,2001,356.6,138.3333333,312.35,3080.9
Andaman And Nicobar Islands,NICOBARS,2002,338.9,104.6166667,209.175,2620.2
Andaman And Nicobar Islands,NICOBARS,2003,343.3,105.65,156.2,2355.9
Andaman And Nicobar Islands,NICOBARS,2004,323.22,86.85,251.775,2460.1
Andaman And Nicobar Islands,NICOBARS,2005,398.76,149.6333333,207.275,2954.7
Andaman And Nicobar Islands,NICOBARS,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,NICOBARS,2010,440.06,171.2833333,195.275,3157.1
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,313.08,146.3333333,292.3,2763.2
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,356.6,138.3333333,312.35,3080.9
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,440.06,171.2833333,195.275,3157.1
Andaman And Nicobar Islands,SOUTH ANDAMANS,2002,338.9,104.6166667,209.175,2620.2
Andaman And Nicobar Islands,SOUTH ANDAMANS,2003,343.3,105.65,156.2,2355.9
Andaman And Nicobar Islands,SOUTH ANDAMANS,2004,323.22,86.85,251.775,2460.1
Andaman And Nicobar Islands,SOUTH ANDAMANS,2005,398.76,149.6333333,207.275,2954.7
Andaman And Nicobar Islands,SOUTH ANDAMANS,2006,337.9,100.8,225,2404.7
Andaman And Nicobar Islands,SOUTH ANDAMANS,2010,440.06,171.2833333,195.275,3157.1
Andhra Pradesh,ANANTAPUR,1997,,,,
Andhra Pradesh,ANANTAPUR,1998,,,,
Andhra Pradesh,ANANTAPUR,1999,,,,
Andhra Pradesh,ANANTAPUR,2000,,,,
Andhra Pradesh,ANANTAPUR,2001,,,,
Andhra Pradesh,ANANTAPUR,2002,,,,
Andhra Pradesh,ANANTAPUR,2003,,,,
Andhra Pradesh,ANANTAPUR,2004,,,,
Andhra Pradesh,ANANTAPUR,2005,,,,
Andhra Pradesh,ANANTAPUR,2006,,,,
Andhra Pradesh,ANANTAPUR,2007,,,,
Andhra Pradesh,ANANTAPUR,2008,,,,
Andhra Pradesh,ANANTAPUR,2009,,,,
Andhra Pradesh,ANANTAPUR,2010,,,,
Andhra Pradesh,ANANTAPUR,2011,,,,
Andhra Pradesh,ANANTAPUR,2012,,,,
Andhra Pradesh,ANANTAPUR,2013,,,,
Andhra Pradesh,ANANTAPUR,2014,,,,
Andhra Pradesh,CHITTOOR,1997,,,,
Andhra Pradesh,CHITTOOR,1998,,,,
Andhra Pradesh,CHITTOOR,1999,,,,
Andhra Pradesh,CHITTOOR,2000,,,,
Andhra Pradesh,CHITTOOR,2001,,,,
Andhra Pradesh,CHITTOOR,2002,,,,
Andhra Pradesh,CHITTOOR,2003,,,,
Andhra Pradesh,CHITTOOR,2004,,,,
Andhra Pradesh,CHITTOOR,2005,,,,
Andhra Pradesh,CHITTOOR,2006,,,,
Andhra Pradesh,CHITTOOR,2007,,,,
Andhra Pradesh,CHITTOOR,2008,,,,
Andhra Pradesh,CHITTOOR,2009,,,,
Andhra Pradesh,CHITTOOR,2010,,,,
Andhra Pradesh,CHITTOOR,2011,,,,
Andhra Pradesh,CHITTOOR,2012,,,,
Andhra Pradesh,CHITTOOR,2013,,,,
Andhra Pradesh,CHITTOOR,2014,,,,
Andhra Pradesh,EAST GODAVARI,1997,,,,
Andhra Pradesh,EAST GODAVARI,1998,,,,
Andhra Pradesh,EAST GODAVARI,1999,,,,
Andhra Pradesh,EAST GODAVARI,2000,,,,
Andhra Pradesh,EAST GODAVARI,2001,,,,
Andhra Pradesh,EAST GODAVARI,2002,,,,
Andhra Pradesh,EAST GODAVARI,2003,,,,
Andhra Pradesh,EAST GODAVARI,2004,,,,
Andhra Pradesh,EAST GODAVARI,2005,,,,
Andhra Pradesh,EAST GODAVARI,2006,,,,
Andhra Pradesh,EAST GODAVARI,2007,,,,
Andhra Pradesh,EAST GODAVARI,2008,,,,
Andhra Pradesh,EAST GODAVARI,2009,,,,
Andhra Pradesh,EAST GODAVARI,2010,,,,
Andhra Pradesh,EAST GODAVARI,2011,,,,
Andhra Pradesh,EAST GODAVARI,2012,,,,
Andhra Pradesh,EAST GODAVARI,2013,,,,
Andhra Pradesh,EAST GODAVARI,2014,,,,
Andhra Pradesh,GUNTUR,1997,,,,
Andhra Pradesh,GUNTUR,1998,,,,
Andhra Pradesh,GUNTUR,1999,,,,
Andhra Pradesh,GUNTUR,2000,,,,
Andhra Pradesh,GUNTUR,2001,,,,
Andhra Pradesh,GUNTUR,2002,,,,
Andhra Pradesh,GUNTUR,2003,,,,
Andhra Pradesh,GUNTUR,2004,,,,
Andhra Pradesh,GUNTUR,2005,,,,
Andhra Pradesh,GUNTUR,2006,,,,
Andhra Pradesh,GUNTUR,2007,,,,
Andhra Pradesh,GUNTUR,2008,,,,
Andhra Pradesh,GUNTUR,2009,,,,
Andhra Pradesh,GUNTUR,2010,,,,
Andhra Pradesh,GUNTUR,2011,,,,
Andhra Pradesh,GUNTUR,2012,,,,
Andhra Pradesh,GUNTUR,2013,,,,
Andhra Pradesh,GUNTUR,2014,,,,
Andhra Pradesh,KADAPA,1997,,,,
Andhra Pradesh,KADAPA,1998,,,,
Andhra Pradesh,KADAPA,1999,,,,
Andhra Pradesh,KADAPA,2000,,,,
Andhra Pradesh,KADAPA,2001,,,,
Andhra Pradesh,KADAPA,2002,,,,
Andhra Pradesh,KADAPA,2003,,,,
Andhra Pradesh,KADAPA,2004,,,,
Andhra Pradesh,KADAPA,2005,,,,
Andhra Pradesh,KADAPA,2006,,,,
Andhra Pradesh,KADAPA,2007,,,,
Andhra Pradesh,KADAPA,2008,,,,
Andhra Pradesh,KADAPA,2009,,,,
Andhra Pradesh,KADAPA,2010,,,,
Andhra Pradesh,KADAPA,2011,,,,
Andhra Pradesh,KADAPA,2012,,,,
Andhra Pradesh,KADAPA,2013,,,,
Andhra Pradesh,KADAPA,2014,,,,
Andhra Pradesh,KRISHNA,1997,,,,
Andhra Pradesh,KRISHNA,1998,,,,
Andhra Pradesh,KRISHNA,1999,,,,
Andhra Pradesh,KRISHNA,2000,,,,
Andhra Pradesh,KRISHNA,2001,,,,
Andhra Pradesh,KRISHNA,2002,,,,
Andhra Pradesh,KRISHNA,2003,,,,
Andhra Pradesh,KRISHNA,2004,,,,
Andhra Pradesh,KRISHNA,2005,,,,
Andhra Pradesh,KRISHNA,2006,,,,
Andhra Pradesh,KRISHNA,2007,,,,
Andhra Pradesh,KRISHNA,2008,,,,
Andhra Pradesh,KRISHNA,2009,,,,
Andhra Pradesh,KRISHNA,2010,,,,
Andhra Pradesh,KRISHNA,2011,,,,
Andhra Pradesh,KRISHNA,2012,,,,
Andhra Pradesh,KRISHNA,2013,,,,
Andhra Pradesh,KRISHNA,2014,,,,
Andhra Pradesh,KURNOOL,1997,,,,
Andhra Pradesh,KURNOOL,1998,,,,
Andhra Pradesh,KURNOOL,1999,,,,
Andhra Pradesh,KURNOOL,2000,,,,
Andhra Pradesh,KURNOOL,2001,,,,
Andhra Pradesh,KURNOOL,2002,,,,
Andhra Pradesh,KURNOOL,2003,,,,
Andhra Pradesh,KURNOOL,2004,,,,
Andhra Pradesh,KURNOOL,2005,,,,
Andhra Pradesh,KURNOOL,2006,,,,
Andhra Pradesh,KURNOOL,2007,,,,
Andhra Pradesh,KURNOOL,2008,,,,
Andhra Pradesh,KURNOOL,2009,,,,
Andhra Pradesh,KURNOOL,2010,,,,
Andhra Pradesh,KURNOOL,2011,,,,
Andhra Pradesh,KURNOOL,2012,,,,
Andhra Pradesh,KURNOOL,2013,,,,
Andhra Pradesh,KURNOOL,2014,,,,
Andhra Pradesh,PRAKASAM,1997,,,,
Andhra Pradesh,PRAKASAM,1998,,,,
Andhra Pradesh,PRAKASAM,1999,,,,
Andhra Pradesh,PRAKASAM,2000,,,,
Andhra Pradesh,PRAKASAM,2001,,,,
Andhra Pradesh,PRAKASAM,2002,,,,
Andhra Pradesh,PRAKASAM,2003,,,,
Andhra Pradesh,PRAKASAM,2004,,,,
Andhra Pradesh,PRAKASAM,2005,,,,
Andhra Pradesh,PRAKASAM,2006,,,,
Andhra Pradesh,PRAKASAM,2007,,,,
Andhra Pradesh,PRAKASAM,2008,,,,
Andhra Pradesh,PRAKASAM,2009,,,,
Andhra Pradesh,PRAKASAM,2010,,,,
Andhra Pradesh,PRAKASAM,2011,,,,
Andhra Pradesh,PRAKASAM,2012,,,,
Andhra Pradesh,PRAKASAM,2013,,,,
Andhra Pradesh,PRAKASAM,2014,,,,
Andhra Pradesh,SPSR NELLORE,1997,,,,
Andhra Pradesh,SPSR NELLORE,1998,,,,
Andhra Pradesh,SPSR NELLORE,1999,,,,
Andhra Pradesh,SPSR NELLORE,2000,,,,
Andhra Pradesh,SPSR NELLORE,2001,,,,
Andhra Pradesh,SPSR NELLORE,2002,,,,
Andhra Pradesh,SPSR NELLORE,2003,,,,
Andhra Pradesh,SPSR NELLORE,2004,,,,
Andhra Pradesh,SPSR NELLORE,2005,,,,
Andhra Pradesh,SPSR NELLORE,2006,,,,
Andhra Pradesh,SPSR NELLORE,2007,,,,
Andhra Pradesh,SPSR NELLORE,2008,,,,
Andhra Pradesh,SPSR NELLORE,2009,,,,
Andhra Pradesh,SPSR NELLORE,2010,,,,
Andhra Pradesh,SPSR NELLORE,2011,,,,
Andhra Pradesh,SPSR NELLORE,2012,,,,
Andhra Pradesh,SPSR NELLORE,2013,,,,
Andhra Pradesh,SPSR NELLORE,2014,,,,
Andhra Pradesh,SRIKAKULAM,1997,,,,
Andhra Pradesh,SRIKAKULAM,1998,,,,
Andhra Pradesh,SRIKAKULAM,1999,,,,
Andhra Pradesh,SRIKAKULAM,2000,,,,
Andhra Pradesh,SRIKAKULAM,2001,,,,
Andhra Pradesh,SRIKAKULAM,2002,,,,
Andhra Pradesh,SRIKAKULAM,2003,,,,
Andhra Pradesh,SRIKAKULAM,2004,,,,
Andhra Pradesh,SRIKAKULAM,2005,,,,
Andhra Pradesh,SRIKAKULAM,2006,,,,
Andhra Pradesh,SRIKAKULAM,2007,,,,
Andhra Pradesh,SRIKAKULAM,2008,,,,
Andhra Pradesh,SRIKAKULAM,2009,,,,
Andhra Pradesh,SRIKAKULAM,2010,,,,
Andhra Pradesh,SRIKAKULAM,2011,,,,
Andhra Pradesh,SRIKAKULAM,2012,,,,
Andhra Pradesh,SRIKAKULAM,2013,,,,
Andhra Pradesh,SRIKAKULAM,2014,,,,
Andhra Pradesh,VISAKHAPATANAM,1997,,,,
Andhra Pradesh,VISAKHAPATANAM,1998,,,,
Andhra Pradesh,VISAKHAPATANAM,1999,,,,
Andhra Pradesh,VISAKHAPATANAM,2000,,,,
Andhra Pradesh,VISAKHAPATANAM,2001,,,,
Andhra Pradesh,VISAKHAPATANAM,2002,,,,
Andhra Pradesh,VISAKHAPATANAM,2003,,,,
Andhra Pradesh,VISAKHAPATANAM,2004,,,,
Andhra Pradesh,VISAKHAPATANAM,2005,,,,
Andhra Pradesh,VISAKHAPATANAM,2006,,,,
Andhra Pradesh,VISAKHAPATANAM,2007,,,,
Andhra Pradesh,VISAKHAPATANAM,2008,,,,
Andhra Pradesh,VISAKHAPATANAM,2009,,,,
Andhra Pradesh,VISAKHAPATANAM,2010,,,,
Andhra Pradesh,VISAKHAPATANAM,2011,,,,
Andhra Pradesh,VISAKHAPATANAM,2012,,,,
Andhra Pradesh,VISAKHAPATANAM,2013,,,,
Andhra Pradesh,VISAKHAPATANAM,2014,,,,
Andhra Pradesh,VIZIANAGARAM,1997,,,,
Andhra Pradesh,VIZIANAGARAM,1998,,,,
Andhra Pradesh,VIZIANAGARAM,1999,,,,
Andhra Pradesh,VIZIANAGARAM,2000,,,,
Andhra Pradesh,VIZIANAGARAM,2001,,,,
Andhra Pradesh,VIZIANAGARAM,2002,,,,
Andhra Pradesh,VIZIANAGARAM,2003,,,,
Andhra Pradesh,VIZIANAGARAM,2004,,,,
Andhra Pradesh,VIZIANAGARAM,2005,,,,
Andhra Pradesh,VIZIANAGARAM,2006,,,,
Andhra Pradesh,VIZIANAGARAM,2007,,,,
Andhra Pradesh,VIZIANAGARAM,2008,,,,
Andhra Pradesh,VIZIANAGARAM,2009,,,,
Andhra Pradesh,VIZIANAGARAM,2010,,,,
Andhra Pradesh,VIZIANAGARAM,2011,,,,
Andhra Pradesh,VIZIANAGARAM,2012,,,,
Andhra Pradesh,VIZIANAGARAM,2013,,,,
Andhra Pradesh,VIZIANAGARAM,2014,,,,
Andhra Pradesh,WEST GODAVARI,1997,,,,
Andhra Pradesh,WEST GODAVARI,1998,,,,
Andhra Pradesh,WEST GODAVARI,1999,,,,
Andhra Pradesh,WEST GODAVARI,2000,,,,
Andhra Pradesh,WEST GODAVARI,2001,,,,
Andhra Pradesh,WEST GODAVARI,2002,,,,
Andhra Pradesh,WEST GODAVARI,2003,,,,
Andhra Pradesh,WEST GODAVARI,2004,,,,
Andhra Pradesh,WEST GODAVARI,2005,,,,
Andhra Pradesh,WEST GODAVARI,2006,,,,
Andhra Pradesh,WEST GODAVARI,2007,,,,
Andhra Pradesh,WEST GODAVARI,2008,,,,
Andhra Pradesh,WEST GODAVARI,2009,,,,
Andhra Pradesh,WEST GODAVARI,2010,,,,
Andhra Pradesh,WEST GODAVARI,2011,,,,
Andhra Pradesh,WEST GODAVARI,2012,,,,
Andhra Pradesh,WEST GODAVARI,2013,,,,
Andhra Pradesh,WEST GODAVARI,2014,,,,
Arunachal Pradesh,ANJAW,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,ANJAW,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,ANJAW,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,ANJAW,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,ANJAW,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,ANJAW,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,ANJAW,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,ANJAW,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,ANJAW,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,ANJAW,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,ANJAW,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,CHANGLANG,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,CHANGLANG,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,CHANGLANG,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,CHANGLANG,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,CHANGLANG,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,CHANGLANG,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,CHANGLANG,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,CHANGLANG,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,CHANGLANG,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,CHANGLANG,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,CHANGLANG,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,CHANGLANG,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,CHANGLANG,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,CHANGLANG,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,CHANGLANG,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,CHANGLANG,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,CHANGLANG,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,CHANGLANG,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,DIBANG VALLEY,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,DIBANG VALLEY,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,DIBANG VALLEY,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,DIBANG VALLEY,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,DIBANG VALLEY,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,DIBANG VALLEY,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,DIBANG VALLEY,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,DIBANG VALLEY,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,DIBANG VALLEY,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,DIBANG VALLEY,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,DIBANG VALLEY,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,DIBANG VALLEY,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,DIBANG VALLEY,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,DIBANG VALLEY,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,DIBANG VALLEY,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,DIBANG VALLEY,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,DIBANG VALLEY,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,DIBANG VALLEY,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,EAST KAMENG,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,EAST KAMENG,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,EAST KAMENG,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,EAST KAMENG,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,EAST KAMENG,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,EAST KAMENG,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,EAST KAMENG,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,EAST KAMENG,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,EAST KAMENG,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,EAST KAMENG,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,EAST KAMENG,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,EAST KAMENG,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,EAST KAMENG,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,EAST KAMENG,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,EAST KAMENG,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,EAST KAMENG,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,EAST KAMENG,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,EAST KAMENG,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,EAST SIANG,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,EAST SIANG,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,EAST SIANG,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,EAST SIANG,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,EAST SIANG,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,EAST SIANG,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,EAST SIANG,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,EAST SIANG,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,EAST SIANG,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,EAST SIANG,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,EAST SIANG,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,EAST SIANG,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,EAST SIANG,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,EAST SIANG,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,EAST SIANG,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,EAST SIANG,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,EAST SIANG,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,EAST SIANG,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,KURUNG KUMEY,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,KURUNG KUMEY,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,KURUNG KUMEY,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,KURUNG KUMEY,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,KURUNG KUMEY,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,KURUNG KUMEY,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,KURUNG KUMEY,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,KURUNG KUMEY,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,KURUNG KUMEY,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,KURUNG KUMEY,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,KURUNG KUMEY,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,KURUNG KUMEY,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,KURUNG KUMEY,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,LOHIT,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,LOHIT,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,LOHIT,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,LOHIT,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,LOHIT,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,LOHIT,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,LOHIT,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,LOHIT,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,LOHIT,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,LOHIT,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,LOHIT,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,LOHIT,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,LOHIT,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,LOHIT,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,LOHIT,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,LOHIT,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,LOHIT,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,LOHIT,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,LONGDING,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,LONGDING,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,LOWER DIBANG VALLEY,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,LOWER DIBANG VALLEY,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,LOWER DIBANG VALLEY,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,LOWER DIBANG VALLEY,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,LOWER DIBANG VALLEY,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,LOWER DIBANG VALLEY,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,LOWER DIBANG VALLEY,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,LOWER DIBANG VALLEY,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,LOWER SUBANSIRI,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,LOWER SUBANSIRI,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,LOWER SUBANSIRI,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,LOWER SUBANSIRI,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,LOWER SUBANSIRI,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,LOWER SUBANSIRI,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,LOWER SUBANSIRI,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,LOWER SUBANSIRI,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,LOWER SUBANSIRI,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,LOWER SUBANSIRI,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,LOWER SUBANSIRI,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,LOWER SUBANSIRI,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,LOWER SUBANSIRI,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,LOWER SUBANSIRI,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,LOWER SUBANSIRI,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,LOWER SUBANSIRI,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,NAMSAI,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,PAPUM PARE,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,PAPUM PARE,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,PAPUM PARE,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,PAPUM PARE,2000,346.26,64.31666667,290.175,2596.8
Arunachal Pradesh,PAPUM PARE,2001,264.32,77.1,209.4,2036
Arunachal Pradesh,PAPUM PARE,2002,328.68,65.76666667,242.1,2389.2
Arunachal Pradesh,PAPUM PARE,2003,367.86,73.25,222.35,2451.8
Arunachal Pradesh,PAPUM PARE,2004,352.7,76.36666667,271.825,2545.7
Arunachal Pradesh,PAPUM PARE,2005,296.6,102.7833333,218.475,2335.5
Arunachal Pradesh,PAPUM PARE,2006,294.12,56.93333333,277.025,2259.6
Arunachal Pradesh,PAPUM PARE,2007,457.54,48.78333333,280.275,3020.7
Arunachal Pradesh,PAPUM PARE,2008,324.76,59.73333333,230.9,2244.4
Arunachal Pradesh,PAPUM PARE,2009,238.94,52.6,163.45,1749.9
Arunachal Pradesh,PAPUM PARE,2010,350.26,70.4,381.825,2855.7
Arunachal Pradesh,PAPUM PARE,2011,287.2,58.18333333,230.825,2193.7
Arunachal Pradesh,PAPUM PARE,2012,514.74,87.35,342.7,3440.3
Arunachal Pradesh,PAPUM PARE,2013,266,61.01666667,229,2042.9
Arunachal Pradesh,PAPUM PARE,2014,357.18,44.43333333,220.45,2403.2
Arunachal Pradesh,TAWANG,1997,328.44,63.98333333,253.45,2274.9
Arunachal Pradesh,TAWANG,1998,578.92,84.88333333,358.35,3616.7
Arunachal Pradesh,TAWANG,1999,345.38,49.15,248.3,2316.6
Arunachal Pradesh,TAWANG,2000,346.26,64.31666667,290.175,2596.8
